X,Y,OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,LATITUDE,LONGITUDE
-77.2984085201324,39.1423881954539,1,CEMETERY,Asbury United Methodist Cemetery,17544 Black Rock Rd,Germantown,20874,301-540-2347, ,,1227697.99997234,537578.625111,39.14238033,-77.29840616
-77.2474135389127,39.3137000716116,2,CEMETERY,Bethesda Cemetery,11900 Bethesda Church Rd,Damascus,20872,301-253-3222, ,,1242330.49995397,599931.43745707,39.31369217,-77.24741118
-77.0219527375827,39.0908578894023,3,CEMETERY,Bonifant Cemetery,14504 Pebblestone Dr,Silver Spring,20905, , ,,1306103.12490937,518672.90630939,39.09085002,-77.02195047
-77.3150684454965,39.1819814625977,4,CEMETERY,Boyds Presbyterian Cemetery,19901 White Ground Rd,Boyds,20841,301-540-2544, ,,1223022.62511999,552015.06237244,39.18197359,-77.31506608
-77.3130061955186,39.2773079162411,5,CEMETERY,Christian Cemetery,25621 Frederick Rd,Clarksburg,20871, , ,,1223726.25008065,586733.24992477,39.27730002,-77.31300382
-77.2861544307447,39.1026014347746,6,CEMETERY,Darnestown United Presbyterian Cemetery,15120 Turkey Foot Rd,Gaithersburg,20878,301-948-9127, ,,1231128.12503154,523076.59373749,39.10259357,-77.28615208
-77.0739995050468,39.0831217307168,7,CEMETERY,Gate of Heaven Cemetery,13801  Georgia Ave,Silver Spring,20906,301-871-1300, ,,1291328.37494361,515863.06259477,39.08311387,-77.07399722
-77.1735717862132,39.2070713342621,8,CEMETERY,Goshen Mennonite Cemetery,8410 Brink Rd,Gaithersburg,20882,301-926-3835, ,,1263149.50003736,561045.99998085,39.20706345,-77.17356946
-77.037811664956,39.0055145084152,9,CEMETERY,Grace Episcopal Cemetery,1607 Grace Church Rd,Silver Spring,20910,301-588-3550, ,,1301589.00010516,487591.50007244,39.00550666,-77.03780939
-77.3141466701525,39.2853669239599,10,CEMETERY,Hyattstown Cemetery,26121 Frederick Rd,Hyattstown,20871,301-831-1194, ,,1223413.50000035,589669.68743151,39.28535903,-77.31414429
-77.4147881398374,39.1799570912992,11,CEMETERY,Monocacy Cemetery,19801 Darnestown Rd,Poolesville,20839, , ,,1194752.24992566,551390.75005186,39.17994922,-77.41478574
-77.1986112486594,39.3188680532665,12,CEMETERY,First Church of God Cemetery,28201 Kemptown Rd,Damascus,20872, , ,,1256142.75007884,601780.06261079,39.31886015,-77.19860891
-77.416724438631,39.2271028935277,13,CEMETERY,Mount Pleasant Cemetary,22691 Mt Ephraim Rd,Dickerson,20842, , ,,1194281.75008522,568564.68747585,39.22709501,-77.41672204
-77.2430583143549,39.1957403515673,14,CEMETERY,Neelsville Presbyterian Cemetery,20701 Frederick Rd,Germantown,20876,301-972-3916, ,,1243448.37489901,556963.93738505,39.19573247,-77.24305597
-77.106233691476,39.0640481582545,15,CEMETERY,Parklawn Cemetery and Menorah Gardens,12800  Veirs Mill Rd,Rockville,20852,301-881-2151, ,,1282170.24987908,508925.28134031,39.0640403,-77.1062314
-77.2262295863213,39.0066184622162,16,CEMETERY,St Gabriel Cemetery,10706 Alloway Dr,Potomac,20854, , ,,1248047.1251113,488071.00010489,39.00661062,-77.22622726
-77.0680329349583,39.1547620055878,17,CEMETERY,St Johns Episcopal Cemetery,3427 Olney Laytonsville Rd,Olney,20832,301-774-6999, ,,1293041.5000652,541954.25007507,39.15475413,-77.06803065
-77.0273800804118,39.1933435844605,18,CEMETERY,St Lukes Episcopal Cemetery,1001 Brighton Dam Rd,Brookeville,20833, , ,,1304573.87511594,556000.43760815,39.1933357,-77.0273778
-77.3204380362357,39.1778500605277,19,CEMETERY,St Marks Cemetery,19620  White Ground Rd,Boyds,20841,301-916-6028, ,,1221495.25001457,550515.62505904,39.17784219,-77.32043567
-77.3807786425802,39.2201045401545,20,CEMETERY,St Marys Catholic Cemetery,18230 Barnesville Rd,Barnesville,20838,301-972-8660, ,,1204453.9999507,565971.25003344,39.22009666,-77.38077625
-77.1267564210666,39.0834165494064,21,CEMETERY,St Marys Cemetery (larger),1251 Baltimore Rd,Rockville,20851, , ,,1276352.87489766,515986.90617889,39.08340869,-77.12675412
-77.3837088191293,39.0978933678677,22,CEMETERY,St Paul Community Cemetery,14730 Sugarland La,Poolesville,20837, , ,,1203436.74990175,521463.43738399,39.09788551,-77.38370643
-77.143156739445,39.2134484606532,23,CEMETERY,St Paul United Methodist Cemetery,21720 Laytonsville Rd,Laytonsville,20882,301-963-2185, ,,1271771.75002939,563353.750127,39.21344057,-77.14315442
-77.0576346772728,39.1783863732148,24,CEMETERY,Salem United Methodist Cemetery,13 High St,Brookeville,20833,301-774-7772, ,,1295995.62512395,550556.68745908,39.17837849,-77.05763239
-77.3443620909852,39.2612094135918,25,CEMETERY,Sugar Loaf Mountain Christian Cemetery,24700 Old Hundred Rd,Dickerson,20842, , ,,1214827.74997636,580901.68742334,39.26120152,-77.34435971
-77.1258544992417,39.0838757885341,26,CEMETERY,Historic Rockville Cemetery,1520 Baltimore Rd,Rockville,20851, , ,,1276609.1250099,516153.81254704,39.08386793,-77.12585219
-76.9491128344048,39.1096821752435,27,CEMETERY,Union Cemetery,2939 Spencerville Rd,Burtonsville,20866, , ,,1326773.50009662,525532.24993178,39.1096743,-76.94911058
-76.9648912651528,39.1241986063367,28,CEMETERY,Mount Calvary Methodist Cemetery,16400 Batson Rd,Spencerville,20868, , ,,1322294.24991644,530817.2498727,39.12419073,-76.96488901
-77.2334766148636,39.240895504857,29,CEMETERY,Christ Lutheran Cemetery,23425 Davis Mill Rd,Germantown,20876, , ,,1246205.99998958,573403.43743236,39.24088761,-77.23347427
-76.9335416785563,39.1173238763838,30,CEMETERY,Columbia Primitive Baptist Cemetery,15900 Old Columbia Pik,Burtonsville,20866,301-421-1580, ,,1331189.87488473,528318.31252637,39.117316,-76.93353943
-77.202179754548,39.286609787764,31,CEMETERY,Damascus Methodist Cemetery,26400 Woodfield Rd,Damascus,20872, , ,,1255107.12511787,590032.74995985,39.28660189,-77.20217741
-77.2037208540162,39.1452271212311,32,CEMETERY,Forest Oak Cemetery,304 N Frederick Ave,Gaithersburg,20877, , ,,1254556.00012536,538538.75003989,39.14521925,-77.20371852
-76.9881307167929,39.095635820781,33,CEMETERY,Good Hope Union United Methodist Cemetery,14655  Good Hope Rd,Colesville,20905,301-384-5552, ,,1315702.62495031,520412.56250301,39.09562795,-76.98812846
-77.0711827876827,39.1220912817897,34,CEMETERY,Judean Memorial Gardens Cemetery,16225 Batchellors Forest Rd,Olney,20832,301-384-1000, ,,1292138.99996836,530055.68750399,39.12208341,-77.0711805
-76.9372191283914,39.1078040566214,35,CEMETERY,Liberty Grove United Methodist Cemetery (Merson),3543  Spencerville Rd,Burtonsville,20866, , ,,1330148.87494776,524850.31252314,39.10779618,-76.93721688
-77.1432271242356,39.2514089976563,36,CEMETERY,Mount Tabor United Methodist Cemetery,24101 Laytonsville Rd,Gaithersburg,20882, , ,,1271773.50004539,577180.00012388,39.2514011,-77.1432248
-77.2376473262981,39.2840305606458,37,CEMETERY,Mountain View United Methodist Cemetery,11501 Mountain View Rd,Damascus,20872,301-253-2264, ,,1245065.62494852,589117.500039,39.28402266,-77.23764498
-77.0509244146581,39.0154297307933,38,CEMETERY,Our Lady of Poland Cemetery,9700 Rosensteel Ave,Silver Spring,20910,301-589-1857, ,,1297864.74998969,491204.50001181,39.01542188,-77.05092214
-76.9781780434733,39.1149803070519,39,CEMETERY,Round Oak Missionary Baptist Cemetery,15812 Good Hope Rd,Silver Spring,20905,301-384-3199, ,,1318525.62501693,527458.62510157,39.11497243,-76.97817578
-77.0250992572694,39.147813117181,40,CEMETERY,Sandy Spring Friends Meeting House Cemetery,17801 Meetinghouse Rd,Sandy Spring,20860,301-774-9792, ,,1305215.75006054,539417.12495271,39.14780524,-77.02509698
-77.1457443985587,39.0820028439791,41,CEMETERY,St Marys Cemetery,520 Veirs Mill Rd,Rockville,20852,301-762-4179, ,,1270962.12494064,515480.06253042,39.08199498,-77.14574209
-77.0803693062992,39.1100689255665,42,CEMETERY,Mount Pleasant Episcopal Cemetary,4101 Muncaster Mill Rd,Rockville,20850, , ,,1289528.87490993,525679.12506791,39.11006106,-77.08036702
-77.2327461238729,39.2107441585315,43,CEMETERY,All Souls Cemetary,11401 Brink Rd,Germantown,20876,301-428-1995,,,1246384.89842175,562421.04407813,39.21073627,-77.23274378
-77.3829400093029,39.2220471668394,44,CEMETERY,Barnesville Methodist Cemetery,18317 Barnesville Rd,Barnesville,20838,,,,1203844.62574213,566681.3592181,39.22203929,-77.38293762
-77.3822840595723,39.2227833231576,45,CEMETERY,Hays Family Cemetery,22310 W Harris Rd,Barnesville,20838,,,,1204031.5822863,566948.70488235,39.22277544,-77.38228167
-77.0978815573019,39.0109188167102,46,CEMETERY,Bethesda Presbyterian Cemetery,9400 Rockville Pik,Bethesda,20814,,,,1284520.98549727,489572.46980229,39.01091097,-77.09787927
-76.9368098146115,39.1277478609157,47,CEMETERY,Burton Family Cemetery,3800 Bell Rd,Burtonsville ,20866,,,,1330259.99507586,532114.23496191,39.12773998,-76.93680757
-77.2377863362611,39.3018964972637,48,CEMETERY,Burdette/Gue Family Cemetery,27100 Purdum Rd,Damascus,20872,,,,1245043.2272525,595624.94324506,39.30188859,-77.23778398
-77.2798005840021,39.2413777670628,49,CEMETERY,Clarksburg United Methodist Church Cemetery,23425 Spire St,Clarksburg,20871,,,,1233086.15792936,573615.97528856,39.24136988,-77.27979822
-77.006566748232,39.0746637159656,50,CEMETERY,Colesville Cemetery,61 Randolph Rd,Colesville,20904,,,,1310469.71588943,512774.1036159,39.07465585,-77.00656448
-77.3507956509035,39.2470983791659,51,CEMETERY,Comus Seventh Day Adventist Cemetery,16830 Comus Rd,Comus,20842,,,,1212986.34402264,575769.01618656,39.24709049,-77.35079327
-77.2448003463994,39.1139391976742,52,CEMETERY,Mount of Olives Cemetery,11810 Darnestown Rd,Gaithersburg,20878,,,,1242874.76824248,527171.8303493,39.11393133,-77.244798
-77.1662460790059,39.2780311075067,53,CEMETERY,Mount Lebanon Fellowship Cemetery,8115 Damascus Rd,Damascus,20882,,,,1265272.42816734,586887.60256492,39.27802321,-77.16624375
