"","city","status","city_totpermits","city_totvaluation","city_totarea","declared.valuation_mean","declared.valuation_median","declared.valuation_tot","declared.valuation_min","declared.valuation_max","building.area_mean","building.area_median","building.area_tot","building.area_min","building.area_max","totpermits","declared.valuation_pct","building.area_pct","totpermits_pct"
"1","","Finaled",1298,184111255,184111255,133810.742857143,1e+05,4683376,2200,490000,2161.17142857143,950,75641,24,7887,35,0.0254377495824468,0.000410843975834068,0.0269645608628659
"2","","Issued",1298,184111255,184111255,180553.54174397,175000,97318359,0,538689,3951.42050359712,4021.5,2196989.8,0,12700,560,0.528584518094779,0.0119329467391877,0.431432973805855
"3","","Open",1298,184111255,184111255,75741.3483146067,11500.5,33704900,0,6786038,1571.79504504505,389,697877,0,31072,450,0.183068112810377,0.00379051785834603,0.346687211093991
"4","","Stop Work",1298,184111255,184111255,191322.608695652,185000,48404620,0,8e+05,3259.35317460317,2805,821357,0,10076,253,0.262909619512398,0.00446119928952741,0.194915254237288
"5","ASHTON","Finaled",524,43480320.24,43480320.24,93202.773255814,25000,32061754,0,3e+06,1799.74,715.5,622710.04,0,10000,351,0.737385415356361,0.0143216525674789,0.669847328244275
"6","ASHTON","Issued",524,43480320.24,43480320.24,61614.0296503497,20000,8810806.24,1,9e+05,1153.69920863309,561,160364.19,1,10000,146,0.202638945420978,0.00368820167640973,0.278625954198473
"7","ASHTON","Open",524,43480320.24,43480320.24,84224.5789473684,20000,1600267,0,440000,1634.65,1052.5,32693,161,7438,20,0.0368043977405627,0.000751903385705146,0.0381679389312977
"8","ASHTON","Stop Work",524,43480320.24,43480320.24,143927.571428571,184000,1007493,15000,272000,2001.71428571429,1976,14012,159,3878,7,0.0231712414820982,0.000322260735952666,0.0133587786259542
"9","BARNESVILLE","Finaled",65,4564512,4564512,76559.3421052632,35167.5,2909255,0,750000,754.846153846154,425,29439,0,5158,40,0.637363862774378,0.00644953940311692,0.615384615384615
"10","BARNESVILLE","Issued",65,4564512,4564512,67368.0588235294,42000,1145257,600,250000,1304.17647058824,472,22171,144,6000,17,0.250904587390722,0.00485725527723446,0.261538461538462
"11","BARNESVILLE","Open",65,4564512,4564512,63750,17500,510000,0,350000,6719.125,687.5,53753,72,48442,8,0.1117315498349,0.0117762862711282,0.123076923076923
"12","BEALLSVILLE","Finaled",80,7855843,7855843,124683.025,41235.5,4987321,700,8e+05,1933.05,1160,77322,96,7561,41,0.634854973552807,0.0098426101438127,0.5125
"13","BEALLSVILLE","Issued",80,7855843,7855843,56401.34375,13717.5,1804843,1000,6e+05,1577.93548387097,504,48916,29,15325,33,0.229745299135943,0.00622670285034973,0.4125
"14","BEALLSVILLE","Open",80,7855843,7855843,212735.8,50000,1063679,6000,940000,2934.16666666667,1705,17605,403,7064,6,0.135399727311251,0.00224100710770315,0.075
"15","BETHESDA","Finaled",20346,3891845237.4,3891845237.4,164236.284869976,49981.5,2223102352,0,5e+07,1786.06461284646,500,24358349.19,0,572315,13805,0.571220646349538,0.00625881752848757,0.678511746780694
"16","BETHESDA","Issued",20346,3891845237.4,3891845237.4,282336.591626672,30000,1541275453.69,0,1e+09,1069.71832355099,400,5832104.3,0,22738,5602,0.396026912601404,0.00149854476327949,0.275336675513614
"17","BETHESDA","Open",20346,3891845237.4,3891845237.4,134150.31683153,20000,86795254.99,0,3991680,1387.66723076923,356,901983.7,0,20100,656,0.0223018259194666,0.000231762478973234,0.0322422097709624
"18","BETHESDA","Stop Work",20346,3891845237.4,3891845237.4,143717.938939929,46000,40672176.72,0,5200000,1567.71434628975,454,443663.16,0,22738,283,0.0104506151295912,0.000113998150732323,0.0139093679347292
"19","BOYDS","Finaled",5028,441093811.08,441093811.08,95680.2588706365,82000,372770288.56,0,13500000,2450.71738339313,1535,9562699.23,0,25405,3935,0.845104327461062,0.0216795134952951,0.782617342879873
"20","BOYDS","Issued",5028,441093811.08,441093811.08,58701.9748577681,12000,53653605.02,0,5544462,1465.61626637555,486,1342504.5,0,10400,930,0.121637628260146,0.00304358044995674,0.184964200477327
"21","BOYDS","Open",5028,441093811.08,441093811.08,48772.7634408602,13917,4535867,0,450000,1604.65591397849,500,149233,10,7250,94,0.0102832252143691,0.000338324855736718,0.0186953062848051
"22","BOYDS","Stop Work",5028,441093811.08,441093811.08,146870.297101449,175000,10134050.5,3000,3e+05,3693.63043478261,4947,254860.5,39,7052,69,0.0229748190644235,0.000577792056016349,0.0137231503579952
"23","BRINKLOW","Finaled",137,11906389.9,11906389.9,82838.7433333333,36500,7455486.9,0,4e+05,1688.66292134831,756,150291,10,8544,90,0.626175269130066,0.0126227178231413,0.656934306569343
"24","BRINKLOW","Issued",137,11906389.9,11906389.9,113452.903225806,32500,3517040,0,815000,1536.66666666667,709,46100,60,6471,31,0.295390964812936,0.00387187051551201,0.226277372262774
"25","BRINKLOW","Open",137,11906389.9,11906389.9,47593.6666666667,22000,571124,7800,250000,562.916666666667,336,6755,120,1753,12,0.0479678563188998,0.000567342415016998,0.0875912408759124
"26","BRINKLOW","Stop Work",137,11906389.9,11906389.9,90684.75,29500,362739,3000,300739,1813.75,276,7255,95,6608,4,0.0304659097380979,0.000609336672235133,0.0291970802919708
"27","BROOKEVILLE","Finaled",2203,142722293.25,142722293.25,75186.8057678944,25000,108193813.5,0,6e+06,1684.21484764543,600,2432006.24,0,56510,1464,0.758072274739041,0.0170401286625907,0.664548343168407
"28","BROOKEVILLE","Issued",2203,142722293.25,142722293.25,39544.9085160202,16201,23450130.75,0,1350000,867.461409395973,480,517007,0,9610,611,0.164306011457674,0.00362246841910242,0.277349069450749
"29","BROOKEVILLE","Open",2203,142722293.25,142722293.25,66832.4431818182,19670,5881255,0,616835,1066.89887640449,464,94954,0,7439,89,0.0412076828789324,0.000665306013782118,0.0403994552882433
"30","BROOKEVILLE","Stop Work",2203,142722293.25,142722293.25,133258.820512821,90000,5197094,0,5e+05,3176.21692307692,1178,123872.46,0,12000,39,0.0364140309243525,0.000867926496829885,0.017703132092601
"31","BURTONSVILLE","Finaled",2407,133311893.75,133311893.75,57476.0399704142,18730.5,97134507.55,0,8e+05,1699.20200356718,491,2858057.77,0,96855,1709,0.728625967403602,0.0214388805800008,0.710012463647694
"32","BURTONSVILLE","Issued",2407,133311893.75,133311893.75,43142.2541275797,10685,22994821.45,0,2318750,1025.89601489758,360,550906.16,0,18915,549,0.172488896550538,0.00413246068676449,0.228084752804321
"33","BURTONSVILLE","Open",2407,133311893.75,133311893.75,61108.8823529412,10000,5194255,0,1e+06,1074.69411764706,384,91349,0,6574,85,0.0389631776572073,0.000685227682470005,0.0353136684669713
"34","BURTONSVILLE","Stop Work",2407,133311893.75,133311893.75,124817.33984375,175000,7988309.75,300,250000,3095.209375,3868,198093.4,0,6574,64,0.0599219583886528,0.00148593943441749,0.0265891150810137
"35","CABIN JOHN","Finaled",681,69665902,69665902,117132.806469298,32750,53412559.75,0,1400000,1511.21529540481,531,690625.39,0,15000,462,0.766695875838943,0.00991339192019648,0.6784140969163
"36","CABIN JOHN","Issued",681,69665902,69665902,74285.0639534884,20000,12777031,0,850000,1056.54651162791,367.5,181726,0,9745,179,0.183404371912101,0.00260853580852222,0.262848751835536
"37","CABIN JOHN","Open",681,69665902,69665902,95858.2580645161,22000,2971606,100,5e+05,798.41935483871,390,24751,0,5709,31,0.0426550997645878,0.000355281411557694,0.0455212922173275
"38","CABIN JOHN","Stop Work",681,69665902,69665902,56078.3611111111,10000,504705.25,800,284700,486.666666666667,211,4380,1,1898,9,0.00724465248436746,6.28715034795645e-05,0.013215859030837
"39","CHEVY CHASE","Finaled",7540,959471962.69,959471962.69,144727.441559343,50000,687744802.29,0,1.7e+07,1213.9118731748,450,5819493.52,0,15265,4851,0.716795100882178,0.00606530857210702,0.643368700265252
"40","CHEVY CHASE","Issued",7540,959471962.69,959471962.69,104766.951041215,31000,241487822.15,0,4e+06,876.729606126915,370,2003327.15,0,13770,2360,0.251688253060526,0.00208794756689234,0.312997347480106
"41","CHEVY CHASE","Open",7540,959471962.69,959471962.69,92526.3830645161,20000,22946543,0,1230000,968.840816326531,306,237366,0,40000,249,0.02391580357978,0.000247392325393766,0.0330238726790451
"42","CHEVY CHASE","Stop Work",7540,959471962.69,959471962.69,92313.8639240506,40000,7292795.25,0,8e+05,978.951012658228,352,77337.13,0,9717,80,0.00760084247751621,8.0603845664417e-05,0.0106100795755968
"43","CLARKSBURG","Finaled",11627,1413419278.99,1413419278.99,130013.064444444,95000,1257876398.5,0,131687925,2457.65775674007,2280,23883518.08,0,95000,9743,0.889952767163932,0.0168976880639881,0.837963361142169
